parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization
weight_proliferation_SP_64_6	weight_proliferation_SP_64_6	log10	-3	5		1			0
weight_proliferation_SP_258_6	weight_proliferation_SP_258_6	log10	-3	5		1			0
weight_proliferation_SP_259_6	weight_proliferation_SP_259_6	log10	-3	5		1			0
weight_proliferation_SP_382_6	weight_proliferation_SP_382_6	log10	-3	5		1			0
weight_proliferation_SP_477_6	weight_proliferation_SP_477_6	log10	-3	5		1			0
weight_proliferation_SP_478_6	weight_proliferation_SP_478_6	log10	-3	5		1			0
weight_proliferation_SP_1512_6	weight_proliferation_SP_1512_6	log10	-3	5		1			0
weight_proliferation_SP_1676_6	weight_proliferation_SP_1676_6	log10	-3	5		1			0
weight_proliferation_SP_18461_6	weight_proliferation_SP_18461_6	log10	-3	5		1			0
weight_proliferation_SP_22030_6	weight_proliferation_SP_22030_6	log10	-3	5		1			0
weight_proliferation_SP_22032_6	weight_proliferation_SP_22032_6	log10	-3	5		1			0
weight_proliferation_SP_22729_6	weight_proliferation_SP_22729_6	log10	-3	5		1			0
weight_proliferation_SP_493_6	weight_proliferation_SP_493_6	log10	-3	5		1			0
weight_proliferation_SP_494_6	weight_proliferation_SP_494_6	log10	-3	5		1			0
weight_proliferation_SP_495_6	weight_proliferation_SP_495_6	log10	-3	5		1			0
weight_proliferation_SP_496_6	weight_proliferation_SP_496_6	log10	-3	5		1			0
r1_k_GeneSpecificScaling	r1_k_GeneSpecificScaling	log10	-3	5		1			0
r1_k_RPKM2protein	r1_k_RPKM2protein	log10	-3	5		1			0
r100_k0	r100_k0	log10	-3	5		1			0
r10038_k0	r10038_k0	log10	-3	5		1			0
r10039_k0	r10039_k0	log10	-3	5		1			0
r10046_k0	r10046_k0	log10	-3	5		1			0
r10102_k0	r10102_k0	log10	-3	5		1			0
r10103_k0	r10103_k0	log10	-3	5		1			0
r10214_kE3	r10214_kE3	log10	-3	5		1			0
r10214_kE2	r10214_kE2	log10	-3	5		1			0
r10214_kE1	r10214_kE1	log10	-3	5		1			0
r10215_k0	r10215_k0	log10	-3	5		1			0
r10220_k_GeneSpecificScaling	r10220_k_GeneSpecificScaling	log10	-3	5		1			0
r10220_k_RPKM2protein	r10220_k_RPKM2protein	log10	-3	5		1			0
r10221_k0	r10221_k0	log10	-3	5		1			0
r10389_k0	r10389_k0	log10	-3	5		1			0
r10389_kd	r10389_kd	log10	-3	5		1			0
r10390_k0	r10390_k0	log10	-3	5		1			0
r10391_k0	r10391_k0	log10	-3	5		1			0
r10392_k0	r10392_k0	log10	-3	5		1			0
r10394_k0	r10394_k0	log10	-3	5		1			0
r10394_kd	r10394_kd	log10	-3	5		1			0
r10396_k0	r10396_k0	log10	-3	5		1			0
r10396_kd	r10396_kd	log10	-3	5		1			0
r10397_k0	r10397_k0	log10	-3	5		1			0
r10397_kd	r10397_kd	log10	-3	5		1			0
r10398_k0	r10398_k0	log10	-3	5		1			0
r10398_kd	r10398_kd	log10	-3	5		1			0
r10399_k0	r10399_k0	log10	-3	5		1			0
r10400_k0	r10400_k0	log10	-3	5		1			0
r10401_kE3	r10401_kE3	log10	-3	5		1			0
r10401_kE2	r10401_kE2	log10	-3	5		1			0
r10401_kE1	r10401_kE1	log10	-3	5		1			0
r10402_k0	r10402_k0	log10	-3	5		1			0
r10403_k0	r10403_k0	log10	-3	5		1			0
r10404_k0	r10404_k0	log10	-3	5		1			0
r10404_kd	r10404_kd	log10	-3	5		1			0
r10405_k0	r10405_k0	log10	-3	5		1			0
r10406_k0	r10406_k0	log10	-3	5		1			0
r10407_k0	r10407_k0	log10	-3	5		1			0
r10409_k0	r10409_k0	log10	-3	5		1			0
r10409_kd	r10409_kd	log10	-3	5		1			0
r10410_k0	r10410_k0	log10	-3	5		1			0
r10411_k0	r10411_k0	log10	-3	5		1			0
r10412_k0	r10412_k0	log10	-3	5		1			0
r10416_k0	r10416_k0	log10	-3	5		1			0
r10417_k0	r10417_k0	log10	-3	5		1			0
r10418_k0	r10418_k0	log10	-3	5		1			0
r10419_k0	r10419_k0	log10	-3	5		1			0
r10419_kd	r10419_kd	log10	-3	5		1			0
r10420_k0	r10420_k0	log10	-3	5		1			0
r10420_kd	r10420_kd	log10	-3	5		1			0
r10421_k0	r10421_k0	log10	-3	5		1			0
r10421_kd	r10421_kd	log10	-3	5		1			0
r10422_k0	r10422_k0	log10	-3	5		1			0
r10422_kd	r10422_kd	log10	-3	5		1			0
r10423_k0	r10423_k0	log10	-3	5		1			0
r10423_kd	r10423_kd	log10	-3	5		1			0
r10424_k0	r10424_k0	log10	-3	5		1			0
r10424_kd	r10424_kd	log10	-3	5		1			0
r10425_k0	r10425_k0	log10	-3	5		1			0
r10425_kd	r10425_kd	log10	-3	5		1			0
r10426_k0	r10426_k0	log10	-3	5		1			0
r10426_kd	r10426_kd	log10	-3	5		1			0
r10427_k0	r10427_k0	log10	-3	5		1			0
r10427_kd	r10427_kd	log10	-3	5		1			0
r10428_k0	r10428_k0	log10	-3	5		1			0
r10428_kd	r10428_kd	log10	-3	5		1			0
r10429_k0	r10429_k0	log10	-3	5		1			0
r10429_kd	r10429_kd	log10	-3	5		1			0
r10430_k0	r10430_k0	log10	-3	5		1			0
r10431_k0	r10431_k0	log10	-3	5		1			0
r10432_k0	r10432_k0	log10	-3	5		1			0
r10433_k0	r10433_k0	log10	-3	5		1			0
r10434_k0	r10434_k0	log10	-3	5		1			0
r10435_k0	r10435_k0	log10	-3	5		1			0
r10436_k0	r10436_k0	log10	-3	5		1			0
r10437_k0	r10437_k0	log10	-3	5		1			0
r10438_k0	r10438_k0	log10	-3	5		1			0
r10439_k0	r10439_k0	log10	-3	5		1			0
r10442_k0	r10442_k0	log10	-3	5		1			0
r10443_k0	r10443_k0	log10	-3	5		1			0
r10444_k0	r10444_k0	log10	-3	5		1			0
r10445_k0	r10445_k0	log10	-3	5		1			0
r10446_k0	r10446_k0	log10	-3	5		1			0
r10447_k0	r10447_k0	log10	-3	5		1			0
r10448_k0	r10448_k0	log10	-3	5		1			0
r10449_k0	r10449_k0	log10	-3	5		1			0
r10451_kE3	r10451_kE3	log10	-3	5		1			0
r10451_kE2	r10451_kE2	log10	-3	5		1			0
r10451_kE1	r10451_kE1	log10	-3	5		1			0
r10456_k0	r10456_k0	log10	-3	5		1			0
r10457_k0	r10457_k0	log10	-3	5		1			0
r10458_k0	r10458_k0	log10	-3	5		1			0
r10459_k0	r10459_k0	log10	-3	5		1			0
r10459_kd	r10459_kd	log10	-3	5		1			0
r10460_k0	r10460_k0	log10	-3	5		1			0
r10460_kd	r10460_kd	log10	-3	5		1			0
r10461_k0	r10461_k0	log10	-3	5		1			0
r10461_kd	r10461_kd	log10	-3	5		1			0
r10462_k0	r10462_k0	log10	-3	5		1			0
r10462_kd	r10462_kd	log10	-3	5		1			0
r10463_k0	r10463_k0	log10	-3	5		1			0
r10463_kd	r10463_kd	log10	-3	5		1			0
r10464_k0	r10464_k0	log10	-3	5		1			0
r10464_kd	r10464_kd	log10	-3	5		1			0
r10465_k0	r10465_k0	log10	-3	5		1			0
r10465_kd	r10465_kd	log10	-3	5		1			0
r10466_k0	r10466_k0	log10	-3	5		1			0
r10466_kd	r10466_kd	log10	-3	5		1			0
r10467_k0	r10467_k0	log10	-3	5		1			0
r10467_kd	r10467_kd	log10	-3	5		1			0
r10468_k0	r10468_k0	log10	-3	5		1			0
r10468_kd	r10468_kd	log10	-3	5		1			0
r10469_k0	r10469_k0	log10	-3	5		1			0
r10469_kd	r10469_kd	log10	-3	5		1			0
r10470_k0	r10470_k0	log10	-3	5		1			0
r10471_k0	r10471_k0	log10	-3	5		1			0
r10472_k0	r10472_k0	log10	-3	5		1			0
r10473_k0	r10473_k0	log10	-3	5		1			0
r10474_k0	r10474_k0	log10	-3	5		1			0
r10475_k0	r10475_k0	log10	-3	5		1			0
r10476_k0	r10476_k0	log10	-3	5		1			0
r10477_k0	r10477_k0	log10	-3	5		1			0
r10478_k0	r10478_k0	log10	-3	5		1			0
r10479_k0	r10479_k0	log10	-3	5		1			0
r10482_k0	r10482_k0	log10	-3	5		1			0
r10483_k0	r10483_k0	log10	-3	5		1			0
r10484_k0	r10484_k0	log10	-3	5		1			0
r10485_k0	r10485_k0	log10	-3	5		1			0
r10486_k0	r10486_k0	log10	-3	5		1			0
r10487_k0	r10487_k0	log10	-3	5		1			0
r10488_k0	r10488_k0	log10	-3	5		1			0
r10489_k0	r10489_k0	log10	-3	5		1			0
r10491_kE3	r10491_kE3	log10	-3	5		1			0
r10491_kE2	r10491_kE2	log10	-3	5		1			0
r10491_kE1	r10491_kE1	log10	-3	5		1			0
r10496_k0	r10496_k0	log10	-3	5		1			0
r10497_k0	r10497_k0	log10	-3	5		1			0
r10498_k0	r10498_k0	log10	-3	5		1			0
r10499_k0	r10499_k0	log10	-3	5		1			0
r10499_kd	r10499_kd	log10	-3	5		1			0
r10500_k0	r10500_k0	log10	-3	5		1			0
r10500_kd	r10500_kd	log10	-3	5		1			0
r10501_k0	r10501_k0	log10	-3	5		1			0
r10501_kd	r10501_kd	log10	-3	5		1			0
r10502_k0	r10502_k0	log10	-3	5		1			0
r10502_kd	r10502_kd	log10	-3	5		1			0
r10503_k0	r10503_k0	log10	-3	5		1			0
r10503_kd	r10503_kd	log10	-3	5		1			0
r10504_k0	r10504_k0	log10	-3	5		1			0
r10504_kd	r10504_kd	log10	-3	5		1			0
r10505_k0	r10505_k0	log10	-3	5		1			0
r10505_kd	r10505_kd	log10	-3	5		1			0
r10506_k0	r10506_k0	log10	-3	5		1			0
r10506_kd	r10506_kd	log10	-3	5		1			0
r10507_k0	r10507_k0	log10	-3	5		1			0
r10507_kd	r10507_kd	log10	-3	5		1			0
