parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization
weight_proliferation_SP_259_6	weight_proliferation_SP_259_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_64_6	weight_proliferation_SP_64_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_478_6	weight_proliferation_SP_478_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_1512_6	weight_proliferation_SP_1512_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_22729_6	weight_proliferation_SP_22729_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_1676_6	weight_proliferation_SP_1676_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_22030_6	weight_proliferation_SP_22030_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_22032_6	weight_proliferation_SP_22032_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_382_6	weight_proliferation_SP_382_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_258_6	weight_proliferation_SP_258_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_18461_6	weight_proliferation_SP_18461_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_477_6	weight_proliferation_SP_477_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_493_6	weight_proliferation_SP_493_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_494_6	weight_proliferation_SP_494_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_496_6	weight_proliferation_SP_496_6	log10	-3	5	1.0	1			0
weight_proliferation_SP_495_6	weight_proliferation_SP_495_6	log10	-3	5	1.0	1			0
p_r_1_k_GeneSpecificScaling	p_r_1_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_100_k0	p_r_100_k0	log10	-3	5	1.0	1			0
p_r_10038_k0	p_r_10038_k0	log10	-3	5	1.0	1			0
p_r_10039_k0	p_r_10039_k0	log10	-3	5	1.0	1			0
p_r_10046_k0	p_r_10046_k0	log10	-3	5	1.0	1			0
p_r_10102_k0	p_r_10102_k0	log10	-3	5	1.0	1			0
p_r_10103_k0	p_r_10103_k0	log10	-3	5	1.0	1			0
p_r_10214_kE3	p_r_10214_kE3	log10	-3	5	1.0	1			0
p_r_10214_kE2	p_r_10214_kE2	log10	-3	5	1.0	1			0
p_r_10214_kE1	p_r_10214_kE1	log10	-3	5	1.0	1			0
p_r_10215_k0	p_r_10215_k0	log10	-3	5	1.0	1			0
p_r_10220_k_GeneSpecificScaling	p_r_10220_k_GeneSpecificScaling	log10	-3	5	1.0	1			0
p_r_10221_k0	p_r_10221_k0	log10	-3	5	1.0	1			0
p_r_10389_k0	p_r_10389_k0	log10	-3	5	1.0	1			0
p_r_10389_kd	p_r_10389_kd	log10	-3	5	1.0	1			0
p_r_10390_k0	p_r_10390_k0	log10	-3	5	1.0	1			0
p_r_10391_k0	p_r_10391_k0	log10	-3	5	1.0	1			0
p_r_10392_k0	p_r_10392_k0	log10	-3	5	1.0	1			0
p_r_10394_k0	p_r_10394_k0	log10	-3	5	1.0	1			0
p_r_10394_kd	p_r_10394_kd	log10	-3	5	1.0	1			0
p_r_10396_k0	p_r_10396_k0	log10	-3	5	1.0	1			0
p_r_10396_kd	p_r_10396_kd	log10	-3	5	1.0	1			0
p_r_10397_k0	p_r_10397_k0	log10	-3	5	1.0	1			0
p_r_10397_kd	p_r_10397_kd	log10	-3	5	1.0	1			0
p_r_10398_k0	p_r_10398_k0	log10	-3	5	1.0	1			0
p_r_10398_kd	p_r_10398_kd	log10	-3	5	1.0	1			0
p_r_10399_k0	p_r_10399_k0	log10	-3	5	1.0	1			0
p_r_10400_k0	p_r_10400_k0	log10	-3	5	1.0	1			0
p_r_10401_kE3	p_r_10401_kE3	log10	-3	5	1.0	1			0
p_r_10401_kE2	p_r_10401_kE2	log10	-3	5	1.0	1			0
p_r_10401_kE1	p_r_10401_kE1	log10	-3	5	1.0	1			0
p_r_10402_k0	p_r_10402_k0	log10	-3	5	1.0	1			0
p_r_10403_k0	p_r_10403_k0	log10	-3	5	1.0	1			0
p_r_10404_k0	p_r_10404_k0	log10	-3	5	1.0	1			0
p_r_10404_kd	p_r_10404_kd	log10	-3	5	1.0	1			0
p_r_10405_k0	p_r_10405_k0	log10	-3	5	1.0	1			0
p_r_10406_k0	p_r_10406_k0	log10	-3	5	1.0	1			0
p_r_10407_k0	p_r_10407_k0	log10	-3	5	1.0	1			0
p_r_10409_k0	p_r_10409_k0	log10	-3	5	1.0	1			0
p_r_10409_kd	p_r_10409_kd	log10	-3	5	1.0	1			0
p_r_10410_k0	p_r_10410_k0	log10	-3	5	1.0	1			0
p_r_10411_k0	p_r_10411_k0	log10	-3	5	1.0	1			0
p_r_10412_k0	p_r_10412_k0	log10	-3	5	1.0	1			0
p_r_10416_k0	p_r_10416_k0	log10	-3	5	1.0	1			0
p_r_10417_k0	p_r_10417_k0	log10	-3	5	1.0	1			0
p_r_10418_k0	p_r_10418_k0	log10	-3	5	1.0	1			0
p_r_10419_k0	p_r_10419_k0	log10	-3	5	1.0	1			0
p_r_10419_kd	p_r_10419_kd	log10	-3	5	1.0	1			0
p_r_10420_k0	p_r_10420_k0	log10	-3	5	1.0	1			0
p_r_10420_kd	p_r_10420_kd	log10	-3	5	1.0	1			0
p_r_10421_k0	p_r_10421_k0	log10	-3	5	1.0	1			0
p_r_10421_kd	p_r_10421_kd	log10	-3	5	1.0	1			0
p_r_10422_k0	p_r_10422_k0	log10	-3	5	1.0	1			0
p_r_10422_kd	p_r_10422_kd	log10	-3	5	1.0	1			0
p_r_10423_k0	p_r_10423_k0	log10	-3	5	1.0	1			0
