observable	condition	conditionRef	scalingParameter	time	measurement	sigma
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.86	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.0238	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.87	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.113	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.65	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc800.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.0503	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc2530.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.57	
proliferation	TUMOR-BT20-cellline-01-01_Erlotinib_Conc8000.0nM	TUMOR-BT20-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.57	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.18	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.113	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.9907	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.166	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.312	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc800.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.993	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc2530.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.77	
proliferation	TUMOR-BT474-cellline-01-01_Erlotinib_Conc8000.0nM	TUMOR-BT474-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.7	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.146	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0554	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.171	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0192	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0282	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc800.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.905	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc2530.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.983	
proliferation	TUMOR-BT549-cellline-01-01_Erlotinib_Conc8000.0nM	TUMOR-BT549-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.77	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.946	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.949	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.0783	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.22	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.075	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc800.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.0401	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc2530.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.75	
proliferation	TUMOR-C32-cellline-01-01_Erlotinib_Conc8000.0nM	TUMOR-C32-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.89	
proliferation	TUMOR-CAL12T-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-CAL12T-cellline-01-01	proliferation_sigma_all,scaling_proliferation_reference_TUMOR-CAL12T-cellline-01-01	inf	1.0172	
