model_id	results_id
weight_proliferation_SP_64_6	weight_proliferation_SP_64_6
weight_proliferation_SP_258_6	weight_proliferation_SP_258_6
weight_proliferation_SP_259_6	weight_proliferation_SP_259_6
weight_proliferation_SP_382_6	weight_proliferation_SP_382_6
weight_proliferation_SP_477_6	weight_proliferation_SP_477_6
weight_proliferation_SP_478_6	weight_proliferation_SP_478_6
weight_proliferation_SP_1512_6	weight_proliferation_SP_1512_6
weight_proliferation_SP_1676_6	weight_proliferation_SP_1676_6
weight_proliferation_SP_18461_6	weight_proliferation_SP_18461_6
weight_proliferation_SP_22030_6	weight_proliferation_SP_22030_6
weight_proliferation_SP_22032_6	weight_proliferation_SP_22032_6
weight_proliferation_SP_22729_6	weight_proliferation_SP_22729_6
weight_proliferation_SP_493_6	weight_proliferation_SP_493_6
weight_proliferation_SP_494_6	weight_proliferation_SP_494_6
weight_proliferation_SP_495_6	weight_proliferation_SP_495_6
weight_proliferation_SP_496_6	weight_proliferation_SP_496_6
observableParameter1_proliferation	1.0
noiseParameter1_proliferation	1.0
r1_k_GeneSpecificScaling	p_r_1_k_GeneSpecificScaling_reaction_1
r100_k0	p_r_100_k0_reaction_100
r10038_k0	p_r_10038_k0_reaction_10038
r10039_k0	p_r_10039_k0_reaction_10039
r10046_k0	p_r_10046_k0_reaction_10046
r10102_k0	p_r_10102_k0_reaction_10102
r10103_k0	p_r_10103_k0_reaction_10103
r10214_kE3	p_r_10214_kE3_reaction_10214
r10214_kE2	p_r_10214_kE2_reaction_10214
r10214_kE1	p_r_10214_kE1_reaction_10214
r10215_k0	p_r_10215_k0_reaction_10215
r10220_k_GeneSpecificScaling	p_r_10220_k_GeneSpecificScaling_reaction_10220
r10221_k0	p_r_10221_k0_reaction_10221
r10389_k0	p_r_10389_k0_reaction_10389
r10389_kd	p_r_10389_kd_reaction_10389
r10390_k0	p_r_10390_k0_reaction_10390
r10391_k0	p_r_10391_k0_reaction_10391
r10392_k0	p_r_10392_k0_reaction_10392
r10394_k0	p_r_10394_k0_reaction_10394
r10394_kd	p_r_10394_kd_reaction_10394
r10396_k0	p_r_10396_k0_reaction_10396
r10396_kd	p_r_10396_kd_reaction_10396
r10397_k0	p_r_10397_k0_reaction_10397
r10397_kd	p_r_10397_kd_reaction_10397
r10398_k0	p_r_10398_k0_reaction_10398
r10398_kd	p_r_10398_kd_reaction_10398
r10399_k0	p_r_10399_k0_reaction_10399
r10400_k0	p_r_10400_k0_reaction_10400
r10401_kE3	p_r_10401_kE3_reaction_10401
r10401_kE2	p_r_10401_kE2_reaction_10401
r10401_kE1	p_r_10401_kE1_reaction_10401
r10402_k0	p_r_10402_k0_reaction_10402
r10403_k0	p_r_10403_k0_reaction_10403
r10404_k0	p_r_10404_k0_reaction_10404
r10404_kd	p_r_10404_kd_reaction_10404
r10405_k0	p_r_10405_k0_reaction_10405
r10406_k0	p_r_10406_k0_reaction_10406
r10407_k0	p_r_10407_k0_reaction_10407
r10409_k0	p_r_10409_k0_reaction_10409
r10409_kd	p_r_10409_kd_reaction_10409
r10410_k0	p_r_10410_k0_reaction_10410
r10411_k0	p_r_10411_k0_reaction_10411
r10412_k0	p_r_10412_k0_reaction_10412
r10416_k0	p_r_10416_k0_reaction_10416
r10417_k0	p_r_10417_k0_reaction_10417
r10418_k0	p_r_10418_k0_reaction_10418
r10419_k0	p_r_10419_k0_reaction_10419
r10419_kd	p_r_10419_kd_reaction_10419
r10420_k0	p_r_10420_k0_reaction_10420
r10420_kd	p_r_10420_kd_reaction_10420
r10421_k0	p_r_10421_k0_reaction_10421
r10421_kd	p_r_10421_kd_reaction_10421
r10422_k0	p_r_10422_k0_reaction_10422
r10422_kd	p_r_10422_kd_reaction_10422
r10423_k0	p_r_10423_k0_reaction_10423
r10423_kd	p_r_10423_kd_reaction_10423
r10424_k0	p_r_10424_k0_reaction_10424
r10424_kd	p_r_10424_kd_reaction_10424
r10425_k0	p_r_10425_k0_reaction_10425
r10425_kd	p_r_10425_kd_reaction_10425
r10426_k0	p_r_10426_k0_reaction_10426
r10426_kd	p_r_10426_kd_reaction_10426
r10427_k0	p_r_10427_k0_reaction_10427
