observableId	simulationConditionId	observableParameters	time	measurement	noiseParameters	preequilibrationConditionId	observableTransformation
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.86	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.0238	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.87	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.113	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.65	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	1.0503	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.57	proliferation_sigma_all		
viability	TUMOR-BT20-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-BT20-cellline-01-01	inf	0.57	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.18	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.113	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.9907	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.166	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	1.3119999999999998	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.993	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.77	proliferation_sigma_all		
viability	TUMOR-BT474-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-BT474-cellline-01-01	inf	0.7	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.146	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0554	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.171	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0192	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc250.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	1.0282	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc800.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.905	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc2530.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.983	proliferation_sigma_all		
viability	TUMOR-BT549-cellline-01-01_Erlotinib_Conc8000.0nM	scaling_proliferation_reference_TUMOR-BT549-cellline-01-01	inf	0.77	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc2.5nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.946	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc8.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	0.9490000000000001	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc25.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.0783	proliferation_sigma_all		
viability	TUMOR-C32-cellline-01-01_Erlotinib_Conc80.0nM	scaling_proliferation_reference_TUMOR-C32-cellline-01-01	inf	1.22	proliferation_sigma_all		
