observable	condition	conditionRef	scalingParameter	time	measurement	sigma
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	1.0521	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.9981	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	1.0071	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.9921	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.9911	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc800.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.946	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc2530.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.94	1.0
proliferation	TUMOR-A2058-cellline-01-01_Erlotinib_Conc8000.0nM	TUMOR-A2058-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-A2058-cellline-01-01	inf	0.957	1.0
proliferation	TUMOR-ASPC1-cellline-01-01_Erlotinib_Conc2.5nM	TUMOR-ASPC1-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-ASPC1-cellline-01-01	inf	0.983	1.0
proliferation	TUMOR-ASPC1-cellline-01-01_Erlotinib_Conc8.0nM	TUMOR-ASPC1-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-ASPC1-cellline-01-01	inf	1.0056	1.0
proliferation	TUMOR-ASPC1-cellline-01-01_Erlotinib_Conc25.0nM	TUMOR-ASPC1-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-ASPC1-cellline-01-01	inf	1.189	1.0
proliferation	TUMOR-ASPC1-cellline-01-01_Erlotinib_Conc80.0nM	TUMOR-ASPC1-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-ASPC1-cellline-01-01	inf	1.189	1.0
proliferation	TUMOR-ASPC1-cellline-01-01_Erlotinib_Conc250.0nM	TUMOR-ASPC1-cellline-01-01	scaling_proliferation_reference_genotypespecific_TUMOR-ASPC1-cellline-01-01	inf	1.0772	1.0
